Afghanistan Kabul
Albania	Tirana
Bahamas	Nassau
Belarus	Minsk
Belgium Brussels
Brazil Brasilia
Bulgaria Sofia
Canada Ottawa
Chile Santiago
China Beijing
Denmark Copenhagen
Djibouti Djibouti
Ecuador Quito
Egypt Cairo
England London
Estonia Tallinn
Fiji Suva
Finland Helsinki
France Paris
Gambia Banjul
Germany Berlin
Greece Athens
Guinea Conakry
Honduras Tegucigalpa
Hungary Budapest
Iceland Reykjavik
Indonesia Jakarta
Ireland Dublin
Italy Rome
Japan Tokyo
Kenya Nairobi
Latvia Riga
Lesotho	Maseru
Madagascar Antananarivo
Maldives Male
Morocco Rabat
Netherlands Amsterdam
Norway Oslo
Peru Lima
Poland Warsaw
Portugal Lisbon
Russia Moscow
Slovakia Bratislava
Slovenia Ljubljana
Sweden Stockholm
Switzerland Bern
Taiwan Taipei
Turkey Ankara
